  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88,  22.88
  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90,  22.90
  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93,  22.93
  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96,  22.96
  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98,  22.98
  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01,  23.01
  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04,  23.04
  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06,  23.06
  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09,  23.09
  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12,  23.12
  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14,  23.14
  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17,  23.17
  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20,  23.20
  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22,  23.22
  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25,  23.25
